2024-05-06 16:47:52.845 [main] [com.example.socketdemo.communicate.InfraredSocket] [77] INFO  - filePath.getParent() E:\personal_java_projects\socket-demo-client\capture\ce
2024-05-06 16:47:52.845 [main] [com.example.socketdemo.communicate.InfraredSocket] [78] INFO  - filePath.toAbsolutePath() E:\personal_java_projects\socket-demo-client\capture\ce\2024_05_06_16_47_52_844.jpg
2024-05-06 16:47:52.845 [main] [com.example.socketdemo.communicate.InfraredSocket] [79] INFO  - filePath.getFileSystem() sun.nio.fs.WindowsFileSystem@35d019a3
2024-05-06 16:47:52.845 [main] [com.example.socketdemo.communicate.InfraredSocket] [80] INFO  - filePath.isAbsolute() true
2024-05-06 16:47:52.845 [main] [com.example.socketdemo.communicate.InfraredSocket] [81] INFO  - Files.isDirectory(filePath) false
2024-05-06 16:47:52.845 [main] [com.example.socketdemo.communicate.InfraredSocket] [82] INFO  -  Files.isRegularFile(filePath) false
2024-05-06 16:48:53.340 [main] [com.example.socketdemo.entity.ProjectProperties] [24] INFO  - 项目初始属性加载完毕
2024-05-06 16:48:53.345 [main] [com.example.socketdemo.communicate.InfraredSocket] [82] INFO  - filePath.getFileName() 2024_05_06_16_48_53_344.jpg
2024-05-06 16:48:53.345 [main] [com.example.socketdemo.communicate.InfraredSocket] [83] INFO  - filePath.getParent() E:\personal_java_projects\socket-demo-client\capture\ce
2024-05-06 16:48:53.345 [main] [com.example.socketdemo.communicate.InfraredSocket] [84] INFO  - filePath.toAbsolutePath() E:\personal_java_projects\socket-demo-client\capture\ce\2024_05_06_16_48_53_344.jpg
2024-05-06 16:48:53.346 [main] [com.example.socketdemo.communicate.InfraredSocket] [85] INFO  - filePath.getFileSystem() sun.nio.fs.WindowsFileSystem@18078bef
2024-05-06 16:48:53.346 [main] [com.example.socketdemo.communicate.InfraredSocket] [86] INFO  - filePath.isAbsolute() true
2024-05-06 16:48:53.346 [main] [com.example.socketdemo.communicate.InfraredSocket] [87] INFO  - Files.isDirectory(filePath) false
2024-05-06 16:48:53.346 [main] [com.example.socketdemo.communicate.InfraredSocket] [88] INFO  -  Files.isRegularFile(filePath) true
2024-05-06 16:49:16.717 [main] [com.example.socketdemo.entity.ProjectProperties] [24] INFO  - 项目初始属性加载完毕
2024-05-06 16:49:16.722 [main] [com.example.socketdemo.communicate.InfraredSocket] [82] INFO  - filePath.getFileName() 2024_05_06_16_49_16_721.jpg
2024-05-06 16:49:16.722 [main] [com.example.socketdemo.communicate.InfraredSocket] [83] INFO  - filePath.getParent() E:\personal_java_projects\socket-demo-client\capture\ce
2024-05-06 16:49:16.722 [main] [com.example.socketdemo.communicate.InfraredSocket] [84] INFO  - filePath.toAbsolutePath() E:\personal_java_projects\socket-demo-client\capture\ce\2024_05_06_16_49_16_721.jpg
2024-05-06 16:49:16.722 [main] [com.example.socketdemo.communicate.InfraredSocket] [85] INFO  - filePath.getFileSystem() sun.nio.fs.WindowsFileSystem@18078bef
2024-05-06 16:49:16.723 [main] [com.example.socketdemo.communicate.InfraredSocket] [86] INFO  - filePath.isAbsolute() true
2024-05-06 16:49:16.723 [main] [com.example.socketdemo.communicate.InfraredSocket] [87] INFO  - Files.isDirectory(filePath) false
2024-05-06 16:49:16.723 [main] [com.example.socketdemo.communicate.InfraredSocket] [88] INFO  -  Files.isRegularFile(filePath) true
2024-05-06 16:49:16.724 [main] [com.example.socketdemo.communicate.InfraredSocket] [90] INFO  - Files.size(filePath) 3
